[2019-07-24T13:14:49.428-0300][0.011s][info][gc,heap] Heap region size: 1M
[2019-07-24T13:14:49.435-0300][0.018s][info][gc     ] Using G1
[2019-07-24T13:14:49.435-0300][0.018s][info][gc,heap,coops] Heap address: 0x00000007e0000000, size: 512 MB, Compressed Oops mode: Zero based, Oop shift amount: 3
[2019-07-24T13:14:50.146-0300][0.729s][info][gc,start     ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[2019-07-24T13:14:50.146-0300][0.729s][info][gc,task      ] GC(0) Using 4 workers of 4 for evacuation
[2019-07-24T13:14:50.204-0300][0.787s][info][gc,phases    ] GC(0)   Pre Evacuate Collection Set: 0.0ms
[2019-07-24T13:14:50.204-0300][0.788s][info][gc,phases    ] GC(0)   Evacuate Collection Set: 57.5ms
[2019-07-24T13:14:50.204-0300][0.788s][info][gc,phases    ] GC(0)   Post Evacuate Collection Set: 0.3ms
[2019-07-24T13:14:50.204-0300][0.788s][info][gc,phases    ] GC(0)   Other: 0.5ms
[2019-07-24T13:14:50.204-0300][0.788s][info][gc,heap      ] GC(0) Eden regions: 25->0(21)
[2019-07-24T13:14:50.204-0300][0.788s][info][gc,heap      ] GC(0) Survivor regions: 0->4(4)
[2019-07-24T13:14:50.204-0300][0.788s][info][gc,heap      ] GC(0) Old regions: 0->19
[2019-07-24T13:14:50.204-0300][0.788s][info][gc,heap      ] GC(0) Humongous regions: 11->11
[2019-07-24T13:14:50.204-0300][0.788s][info][gc,metaspace ] GC(0) Metaspace: 6739K->6739K(1056768K)
[2019-07-24T13:14:50.204-0300][0.788s][info][gc           ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 36M->33M(512M) 58.614ms
[2019-07-24T13:14:50.205-0300][0.788s][info][gc,cpu       ] GC(0) User=0.18s Sys=0.01s Real=0.06s
[2019-07-24T13:14:50.796-0300][1.379s][info][gc,start     ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[2019-07-24T13:14:50.796-0300][1.379s][info][gc,task      ] GC(1) Using 4 workers of 4 for evacuation
[2019-07-24T13:14:50.892-0300][1.475s][info][gc,phases    ] GC(1)   Pre Evacuate Collection Set: 0.0ms
[2019-07-24T13:14:50.892-0300][1.475s][info][gc,phases    ] GC(1)   Evacuate Collection Set: 96.0ms
[2019-07-24T13:14:50.892-0300][1.475s][info][gc,phases    ] GC(1)   Post Evacuate Collection Set: 0.3ms
[2019-07-24T13:14:50.892-0300][1.476s][info][gc,phases    ] GC(1)   Other: 0.2ms
[2019-07-24T13:14:50.892-0300][1.476s][info][gc,heap      ] GC(1) Eden regions: 21->0(21)
[2019-07-24T13:14:50.892-0300][1.476s][info][gc,heap      ] GC(1) Survivor regions: 4->4(4)
